general abuse,misogyny,misandry
abominable,b17ch,chad
affront  ,b1tch,thundercock
aloof  ,beckies,thundercocks
arrogant ,becky,chads
asinine ,beckys,chav
avarice ,biatch,cuck 
avaricious ,bimbo,fuckboy
backbiting ,bint ,himbo
bampot ,bints,lecher
barbaric ,bitch,machosexual
barbarous ,bitches,spide
bastard,bitchtits,scrote
beast ,byatch,scrotes
beastial,charver,
beastly ,cocktease,
bestial,coondog,
betrayer ,dinkladies,
bloodthirsty ,dinklady,
bottomfeeder,dumbbitch,
braggart ,feminazi,
brute ,feminazis,
bum,fuckingbitch,
bungler ,fuckwhore,
burrhead ,fuckwhore,
butchery ,gash,
cancerous ,gasher,
capricious ,gashes,
charva,gookettes,
demonrats,harridan,
detestable ,ho,
diabolic  ,hoar,
disgusting,hoare,
dishonest   ,hoe ,
disrespectful ,hoes,
distasteful ,hoodrat,
div,hoodrats,
donkeyribber,hore,
doosh,hos,
douchbag ,hun,
duche,hussy,
dullard ,l3itch,
dumb ,l3itch,
dumbass,lolita,
dumbfuck,mutah,
dummy ,muttah,
dunce,scag,
egotistical ,scags,
evil ,scank ,
evildoer ,skag,
fiend ,skags,
filthy ,skank,
foul   ,skanky,
freakish ,slut ,
frigid ,slutbag,
fuckass,sluts,
fuckbrain,slutt,
fucker,slutty,
fuckers,slutwhore,
fuckface,whoar,
fuckhead,whore,
fuckheads,whores,
fuckknob,,
fuckmonkey,,
fucktard,,
fuckwhit,,
fuckwit,,
fugly,,
fukker,,
fukwhit,,
fukwit,,
graceless ,,
greaseball ,,
grotesque ,,
gruesome  ,,
heartless ,,
heathen ,,
heretical ,,
hillbilly ,,
horrendous ,,
horrid ,,
hustler ,,
hypocrite ,,
idiot,,
idiots,,
ignorant ,,
imbecile ,,
immoral  ,,
imperious,,
insane  ,,
insufferable ,,
jackass,,
jagoff ,,
jerk ,,
kissass,,
knob,,
knobead,,
knobed,,
knobend,,
knobhead,,
knobjokey,,
kook,,
kooky,,
loser ,,
losers,,
lousy ,,
madman  ,,
malodorous ,,
manipulative ,,
masochist,,
merciless ,,
miser ,,
mong ,,
monster ,,
mook ,,
mope ,,
moron ,,
mutt,,
nasty ,,
nazi ,,
nob,,
nobhead,,
nobjocky,,
nobjokey,,
obscene  ,,
pansy ,,
pretentious ,,
pricks  ,,
pud,,
pudboy,,
pudd,,
retard ,,
rotten ,,
sadist,,
savage ,,
schmuck,,
scoundrel ,,
scum ,,
seedy,,
shady ,,
shirker,,
shitface,,
shitfuck,,
shitfull,,
shithead,,
shitspitter,,
shitter,,
shitters ,,
shitty ,,
sketchy ,,
slanderous ,,
snowflake ,,
sucker ,,
tard,,
thoughtless ,,
tosser,,
traitor ,,
treasonous ,,
turd,,
tw4t,,
twat ,,
twathead,,
twatty,,
twatwaffle,,
twisted ,,
twunt,,
twunter,,
tyrannical ,,
ugly ,,
unbearable ,,
unethical ,,
unfaithful ,,
unwanted ,,
unworthy ,,
viciousness ,,
vile ,,
violent ,,
wanker,,
worthless ,,
wuss,,
zealot ,,
pathetic,,
analannie,,
assbandit,,
assbanger,,
assface,,
assfucker,,
assfukka,,
asshat,,
asshead,,
asshole ,,
assholes,,
asshopper,,
assklown,,
asslicker,,
assman,,
asspacker,,
asspuppy,,
assranger,,
asssucker,,
asswhole,,
asswipe,,
balllicker,,
bunnyfucker,,
buttface,,
buttfucka,,
butthead,,
buttpirate,,
c0ck,,
c0cksucker,,
cherrypopper,,
clamdigger,,
clitface,,
cock,,
cockblocker,,
cockface,,
cockhead,,
cockmaster,,
cockmongler,,
cockmuncher,,
cocknugget,,
cockqueen,,
cockrider,,
cocks,,
cocksman,,
cocksmith,,
cocksmoker,,
cocksniffer,,
cocksucker ,,
cocksuka,,
cocksukka,,
cokmuncher,,
coksucka,,
cumdumpster,,
cumguzzler,,
cummer,,
cumqueen,,
cumslut,,
cunt ,,
cuntass,,
cuntface,,
cuntfucker,,
cuntlicker,,
cunts,,
cuntslut,,
d1ck ,,
dick,,
dickbag,,
dickbrain,,
dickface,,
dickfucker,,
dickhead,,
dickless,,
dicklicker ,,
dickman,,
dickmonger,,
dicksucker,,
dicktickler,,
dickwad,,
dickweed,,
dink ,,
dinks,,
dipstick,,
dix,,
dlck,,
douchebag,,
escort,,
fannyfucker,,
fatass,,
fingerfucker ,,
fingerfuckers,,
fistfucker,,
fistfuckers ,,
footfucker,,
fuckable,,
fuckbag,,
fuckbuddy,,
fuckfreak,,
fuckfriend,,
fuckpig,,
kummer,,
kunt,,
limpdick,,
micropenis,,
milf,,
muffindiver,,
mufflikcer,,
penisfucker,,
penispuffer,,
perverted ,,
pigfucker,,
pindick,,
playboy,,
playgirl,,
pornking,,
pornprincess,,
prostitute,,
puss,,
pusse,,
pussi,,
pussie,,
pussies,,
pussy ,,
pussycat,,
pussyeater,,
pussyfucker,,
pussylicker,,
pussylover,,
pussypounder,,
pussys ,,
pusy,,
scroat,,
shitdick,,
spermbag,,
spermhearder,,
spermherder,,
titfucker,,
tittiefucker,,
unclefucker,,
unfuckable,,
whorefucker,,
williewanker,,
